start_date,country,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,actual_cause,shutdown_status
3/28/2019,India,"Pulwama and Shopian, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,Ended
3/28/2019,India,"Kupwara, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
4/1/2019,India,"Lassipora area, Pulwama, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
4/1/2019,India,Punjab State,Shutdown,"Broadband, Mobile",Full network,State government,Protests,Ended
4/3/2019,India,"Tarn Taran district, Punjab",Shutdown,"Broadband, Mobile",Full network,State government,Other,Ended
4/5/2019,India,"Srinagar, and South Jammu, Jammu and Kashmir","Shutdown, Throttle",Mobile,Full network,State government,Political instability,Ended
4/6/2019,India,"Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,NA
4/7/2019,India,"Tral, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,Ended
4/7/2019,Sudan,Khartoum,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,Ended
4/9/2019,India,"Doda and Kishtwar, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
4/11/2019,India,"Baramulla and North Kashmir, Jammu and Kashmir","Shutdown, Throttle",Mobile,Full network,State government,Elections,NA
4/11/2019,India,"Shopian, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,Ended
4/12/2019,Yemen,Al Hudaydah,Shutdown,Broadband,Full network,Non-government,Conflict,Unknown
4/16/2019,India,"Asansol, West Bengal state",Shutdown,"Broadband, Mobile",Full network,State government,Communal violence,Ended
4/17/2019,Yemen,NA,Shutdown,Broadband,Full network,Unknown,Unknown,Ended
4/18/2019,India,"Srinagar, Budgam and Ganderbal districts, Central and South Kashmir, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Elections,Ended
4/20/2019,India,"Sikar district, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,State government,Communal violence,Ended
4/21/2019,Sri Lanka,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ended
4/22/2019,India,"Kashmir Valley, Jammu and Kashmir",Unknown,Unknown,Service-based,Unknown,Unknown,Ended
4/23/2019,Tajikistan,National,Unknown,Unknown,Service-based,Executive government,Unknown,Ended
4/24/2019,India,"Sikar, Rajasthan",Unknown,Unknown,Service-based,Unknown,Unknown,Ended
4/25/2019,India,"Anantnag, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Other,NA
4/27/2019,Benin,National,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Elections,Ended
4/27/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ended
4/27/2019,Yemen,NA,Shutdown,Broadband,Full network,Non-government,Unknown,Ended
4/29/2019,India,"South Kashmir, Kashmir Valley, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Elections,Ended
4/30/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ended
5/1/2019,Benin,National,"Shutdown, Throttle","Broadband, Mobile","Full network, Service-based",Executive government,Protests,Ended
5/2/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ended
5/3/2019,India,"South Kashmir, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,Ended
5/3/2019,India,"Pulwama, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
5/5/2019,Sri Lanka,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ended
5/6/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ended
5/9/2019,Kazakhstan,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,Ended
5/10/2019,India,"Sopore area of Baramulla district, Shopian, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,Ended
5/11/2019,India,"Hailakandi, Barak Vally, Assam",Shutdown,"Broadband, Mobile",Full network,State government,Communal violence,Ended
5/12/2019,India,"Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,Ended
5/12/2019,India,"Bandipora, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Protests,NA
5/13/2019,Sri Lanka,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communal violence,Ended
05/14/2019,Iraq,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,Ended
5/15/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ended
5/16/2019,India,"Pulwama, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Conflict,NA
5/16/2019,India,"Doda, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Protests,Ended
5/17/2019,India,"Sopore, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
5/18/2019,India,"Pulwama, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
5/18/2019,United Kingdom,London Metro,Shutdown,Broadband,Service-based,Law enforcement,Protests,Ended
5/20/2019,China,"Guangdong Province, Shanghai, Chongqing, and other places",Throttle,"Broadband, Mobile","Full network, Service-based",Unknown,Religious holiday/anniversary,Ended
5/21/2019,Tajikistan,National,"Shutdown, Throttle","Broadband, Mobile","Full network, Service-based",Executive government,Political instability,Ended
5/22/2019,India,"Kulgam, Kashmir Valley, Jammu and Kashmir",Shutdown,Mobile,Full network,Law enforcement,Other,Ended
5/22/2019,Indonesia,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,Ended
5/22/2019,Malawi,National,Shutdown,"Broadband, Mobile",Full network,Non-government,Elections,Ended
5/24/2019,India,"Tral and parts of Kashmir, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,Ended
5/24/2019,Lebanon,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
05/27/2019,Iraq,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,Ended
5/29/2019,India,"Kulgam, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Conflict,NA
5/30/2019,India,"Sopore, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Conflict,NA
5/31/2019,India,"Awantipora area of Pulwama district, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
5/31/2019,India,"Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,NA
5/31/2019,Pakistan,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
6/1/2019,Iraq,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,Ended
6/3/2019,India,"Kulgam, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,NA
6/3/2019,Sudan,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,Ended
6/5/2019,India,"Kendrapara, Odisha",Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,Ended
6/7/2019,India,"Pulwama, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Other,NA
6/7/2019,Liberia,National,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Protests,Ended
6/8/2019,India,"Anantnag, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
6/9/2019,India,"Dhanipara village, Basirhat district, West Bengal state",Shutdown,"Broadband, Mobile",Full network,State government,Elections,NA
6/9/2019,Kazakhstan,National,"Shutdown, Throttle","Broadband, Mobile",Service-based,Executive government,Elections,Ended
6/9/2019,Syrian Arab Republic,National,Shutdown,"Broadband, Mobile",Full network,Unknown,Exam cheating,Ended
6/10/2019,Ethiopia,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Political instability,Ended
6/10/2019,India,"Khair Tehsil, Aligarh district, Uttar Pradesh state",Shutdown,"Broadband, Mobile",Full network,Local government,Communal violence,NA
6/11/2019,India,"Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,Law enforcement,Conflict,NA
6/11/2019,India,"Sopore area, Baramulla district, Jammu and Kashmir state",Shutdown,Mobile,Full network,Law enforcement,Conflict,NA
6/11/2019,Kazakhstan,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,Ended
6/12/2019,India,"Anantnag, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,NA
6/14/2019,India,"Pulwama, Jammu and Kashmir",Shutdown,"Broadband, Mobile","Full network, Service-based",State government,Conflict,NA
6/15/2019,Eritrea,National,Shutdown,Broadband,Service-based,Executive government,Protests,Ended
6/16/2019,Algeria,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Exam cheating,Ended
6/17/2019,India,"Anantnag, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Other,NA
6/18/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ended
6/19/2019,India,"Anantnag, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Religious holiday/anniversary,NA
6/20/2019,India,"North 24 Parganas, West Bengal",Shutdown,"Broadband, Mobile",Full network,State government,Communal violence,NA
6/20/2019,Algeria,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,Ended
6/20/2019,Yemen,NA,Shutdown,Broadband,Full network,Non-government,Conflict,Unknown
6/22/2019,Cameroon,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Other,Ended
6/22/2019,Ethiopia,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Other,Ended
6/22/2019,Ethiopia,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Political instability,Ended
6/22/2019,Myanmar,Rakhine and Chin States,Shutdown,Mobile,Full network,Executive government,Conflict,Ended
6/22/2019,Myanmar,Rakhine,Shutdown,Mobile,Full network,Executive government,Conflict,NA
6/23/2019,India,"Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,Law enforcement,Conflict,NA
6/23/2019,Mauritania,National,Shutdown,Mobile,Full network,Executive government,Elections,Ended
6/26/2019,Iran,National,Shutdown,"Broadband, Mobile",Full network,Unknown,Other,Ended
6/28/2019,India,"Badgam, Jammu and Kashmir",Shutdown,Mobile,Full network,Law enforcement,Other,NA
6/30/2019,India,"Budgam district, Jammu and Kashmir state",Shutdown,Mobile,Full network,Law enforcement,Conflict,NA
7/1/2019,India,"Meerut city, Uttar Pradesh",Shutdown,Mobile,Full network,State government,Information control,Ended
7/2/2019,India,"Jaipur city, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,NA
7/5/2019,India,"Meerut district, Uttar Pradesh state",Shutdown,"Broadband, Mobile",Full network,State government,Protests,NA
7/5/2019,India,"Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Conflict,NA
7/8/2019,India,"South Kashmir, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,NA
7/8/2019,Yemen,Hadhramout,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,Unknown
7/16/2019,Ethiopia,SNNPR,Shutdown,Mobile,Full network,Executive government,Communal violence,Ended
7/16/2019,India,"Udaipur city, Rajasthan",Shutdown,"Broadband, Mobile",Full network,State government,Protests,Ended
7/17/2019,India,"Sopore village, Baramulla district, Jammu and Kashmir state",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Conflict,NA
7/18/2019,India,"Udaipur city, Rajasthan",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
7/19/2019,India,"Anantnag district, parts of south Kashmir, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Conflict,NA
7/25/2019,India,"Asansol city, West Bengal state",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Communal violence,Ended
7/27/2019,India,"Shopian district, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Conflict,NA
7/28/2019,Syrian Arab Republic,National,Shutdown,"Broadband, Mobile",Full network,Unknown,Exam cheating,Ended
7/30/2019,India,"Tral sub-district, Pulwama district, Jammu and kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Protests,NA
8/2/2019,India,"Shopian district, Jammu and Kashmir",Shutdown,Mobile,Full network,Law enforcement,Protests,NA
8/3/2019,India,"Sopore town, Jammu and Kashmir",Shutdown,Mobile,Full network,Law enforcement,Conflict,NA
8/3/2019,India,"Kashmir Valley, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Political instability,Ended
8/3/2019,Russian Federation,Moscow,Shutdown,Mobile,Full network,Law enforcement,Protests,Ended
8/8/2019,India,"Kargil town, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Protests,NA
8/13/2019,India,"Jaipur city, Rajasthan state",Shutdown,Mobile,Full network,State government,Political instability,Ended
8/15/2019,Pakistan,Azad Kashmir.,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,Ended
8/22/2019,Indonesia,Papua,Shutdown,Mobile,Full network,Executive government,Protests,Ended
8/25/2019,India,"Gangapur City, Sawai Madhopur District, Rajasthan",Shutdown,"Broadband, Mobile",Full network,State government,Communal violence,Ended
8/27/2019,Iraq,NA,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,Ended
9/2/2019,Bangladesh,Refugee Camps in Cox Bazar district and peninsula adjoining the Naf River,Throttle,Mobile,Full network,Executive government,Protests,Ended
9/7/2019,Pakistan,Azad Kashmir.,Shutdown,Mobile,Full network,Executive government,Protests,Ended
9/8/2019,Pakistan,"Faisalabad, Jhang, Multan, Rahimyar Khan, Lahore 
Karachi & Islamabad",Shutdown,Mobile,Full network,Executive government,Religious holiday/anniversary,Ended
9/10/2019,Bangladesh,Refugee Camps in Cox Bazar district and peninsula adjoining the Naf River,Shutdown,Mobile,Full network,Executive government,Protests,Ongoing
9/14/2019,Algeria,National,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,Ended
9/22/2019,Egypt,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,Ended
9/25/2019,Indonesia,Wamena,Shutdown,Mobile,Full network,Executive government,Protests,Ended
10/2/2019,Iraq,National except Kurdish region,Shutdown,"Broadband, Mobile",Service-based,Unknown,Protests,Ended
10/3/2019,Iraq,National except Kurdish region,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,Ended
10/7/2019,Ecuador,National,Throttle,"Broadband, Mobile",Service-based,Executive government,Protests,Ended
10/11/2019,India,"Jehanabad, Bihar",Shutdown,Mobile,Full network,Law enforcement,Communal violence,NA
10/11/2019,Turkey,"Gaziantep, Sanlıurfa, Hatay,",Shutdown,"Broadband, Mobile",Service-based,NA,Conflict,Ongoing
10/12/2019,Ecuador,National,Shutdown,Mobile,Full network,Executive government,Protests,Ended
10/12/2019,Yemen,Abyan districts,Shutdown,Broadband,Full network,Non-government,Conflict,Ended
10/15/2019,Turkey,National,Shutdown,"Broadband, Mobile",Service-based,NA,Unknown,Ended
10/22/2019,Pakistan,Islamabad and Khyber Pakhtunkhwa,Shutdown,Mobile,Full network,Executive government,Protests,Ended
10/25/2019,Iraq,National except Kurdish areas,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Protests,Ended
11/4/2019,Iraq,National except Kurdish areas,Shutdown,"Broadband, Mobile",Full network,NA,Protests,Ended
11/6/2019,Yemen,NA,Shutdown,Broadband,Full network,Unknown,Unknown,Ended
11/9/2019,India,"Rajasthan (also in Meerut and Saharanpur in western Uttar Pradesh, Palwal, Haryana, and Maharashtra)",Shutdown,"Broadband, Mobile","Full network, Service-based",Law enforcement,Other,Ended
11/10/2019,India,"Damoh, Panna, Chhatarpur and Tikamgarh districts, Madhya Pradesh",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Religious holiday/anniversary,Ended
11/16/2019,Iran,National except Kurdish region,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,Ended
11/16/2019,Iran,National except Kurdish region,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,Ended
11/16/2019,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,NA,Protests,Ended
11/22/2019,Yemen,NA,Shutdown,Broadband,Full network,Unknown,Unknown,Unknown
12/10/2019,India,Arunachal Pradesh,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/10/2019,India,Tripura,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/11/2019,India,10 districts of Assam,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/12/2019,India,"10 districts, Meghalaya",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/13/2019,India,"Aligarh, Uttar Pradesh",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/15/2019,India,"Uttar Pradesh, West Bengal",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/18/2019,India,Several cities in Uttar Pradesh,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/19/2019,India,"Dakshina Kannada district, Karnataka",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/20/2019,India,Madhya Pradesh,Shutdown,Mobile,Full network,Law enforcement,Protests,Ended
12/22/2019,India,Several cities in Uttar Pradesh,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/22/2019,India,"Capital, Rajasthan",Shutdown,"Broadband, Mobile","Full network, Service-based",Law enforcement,Protests,Ended
12/27/2019,India,"Bijnor, Bulandshahar, Muzaffarnagar, Meerut, Agra, Firozabad, Sambhal, Aligarh, Ghaziabad, Rampur, Sitapur and Kanpur, Uttar Pradesh",Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protests,Ended
12/31/2019,Bangladesh,Districts that border India,Shutdown,Mobile,Full network,Executive government,Unknown,Ended
9/11/2013,Turkey,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
6/12/2016,Pakistan,Federally Administered Tribal Area (FATA),Shutdown,Mobile,Full network,Executive government,Conflict,Ended
9/15/2016,Indonesia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
10/28/2016,United Arab Emirates,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
2/9/2017,Saudi Arabia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
5/12/2017,Iran,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
5/24/2019,Lebanon,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
5/31/2019,Pakistan,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
6/22/2019,Myanmar,"Buthidaung, Rathedaung, Myabon, Paletwa, Ponnagyun, Myauk-U, Kyauktaw and Minbya Townships in Rakhine State",Throttle,Mobile,Full network,Executive government,Conflict,Ended
8/3/2019,India,"Kashmir Valley, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Political instability,Ended
8/5/2019,India,Jammu and Kashmir,Throttle,Mobile,Full network,Executive government,Political instability,Ended
9/10/2019,Bangladesh,Cox's Bazar refugee camp,Shutdown,Mobile,Full network,Executive government,Protests,Ended
1/1/2020,India,"Koregaon Bhima, Perne village in Pune district",Shutdown,"Broadband, Mobile",Full network,Local government,Religious holiday/anniversary,Ended
1/1/2020,Qatar,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
1/2/2020,India,"Duttapukur, Amdanga and Deganga, in North 24 Parganas, West Bengal",Shutdown,Unknown,Full network,Local government,Communal violence,Ended
1/3/2020,Azerbaijan,NA,"Shutdown, Throttle","Broadband, Mobile","Full network, Service-based",Unknown,Protests,Ended
1/3/2020,Ethiopia,"Kellem Wellega, West Wellega, Horo Gudru Wellega zones",Shutdown,"Broadband, Mobile","Full network, Service-based",State government,Conflict,Ended
1/4/2020,India,Hyderabad in the state of Andhra Pradesh,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,Ended
1/5/2020,Venezuela,National,Shutdown,"Broadband, Mobile",Service-based,Unknown,Other,Ended
1/8/2020,Ethiopia,Oromia,Shutdown,"Broadband, Mobile",Full network,Executive government,Conflict,Ended
1/15/2020,India,UT of Jammu and Kashmir,"Shutdown, Throttle",Mobile,Full network,State government,Political instability,Ended
1/22/2020,Togo,Nation wide,Shutdown,Mobile,Full network,Executive government,Unknown,Ended
1/25/2020,India,Kashmir Valley,Shutdown,Mobile,Full network,Local government,Religious holiday/anniversary,Ended
1/27/2020,India,Anantnag,Shutdown,Mobile,Full network,Local government,Other,Ended
1/30/2020,Yemen,NA,Shutdown,"Broadband, Mobile",Full network,Executive government,Other,Unknown
1/31/2020,India,"Jabalpur, in Madhya Pradesh",Shutdown,Mobile,Full network,Local government,Protests,Ended
2/3/2020,Myanmar,five townships in Rakhine State,Shutdown,Mobile,Full network,Executive government,Conflict,Ended
2/8/2020,Iran,National,Shutdown,"Broadband, Mobile",Full network,Executive government,Unknown,Ended
2/9/2020,India,"Anantnag,Badgam,Bandipore,Baramula,Doda,Ganderbal,Jammu,Kargil,Kathua,Kishtwar,Kulgam,Kupwara,Leh (ladakh),Poonch,Pulwama,Rajouri,Ramban,Reasi,Samba,Shupiyan,Srinagar,Udhampur, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Religious holiday/anniversary,Ended
2/11/2020,India,"Anantnag,Badgam,Bandipore,Baramula,Doda,Ganderbal,Jammu,Kargil,Kathua,Kishtwar,Kulgam,Kupwara,Leh (ladakh),Poonch,Pulwama,Rajouri,Ramban,Reasi,Samba,Shupiyan,Srinagar,Udhampur, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
2/16/2020,Viet Nam,National,Throttle,"Broadband, Mobile",Service-based,Executive government,Information control,Ended
2/18/2020,India,"Murshidabad,Maldah,Dakshin Dinajpur,Pashchim Medinipur,Birbhum,Jalpaiguri, Koch Bihar, in the state of West Bengal",Shutdown,Mobile,Full network,Local government,Exam cheating,Ended
2/19/2020,India,"Baramulla district and Awantipora police district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
2/21/2020,Togo,NA,Shutdown,Mobile,Service-based,Unknown,Elections,Ended
2/22/2020,India,"Anantnag and Kulgam districts, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
2/22/2020,Togo,Nation Wide,Shutdown,Mobile,Service-based,Unknown,Elections,Ended
2/23/2020,India,"Aligarh, in the state of Uttar Pradesh",Shutdown,Mobile,Full network,Local government,Protests,Ended
2/27/2020,Turkey,National,Shutdown,"Broadband, Mobile",Service-based,Executive government,Conflict,Ended
2/28/2020,India,"East Khasi Hills,Ri Bhoi,West Khasi Hills,Jaintia Hills in the state of Meghalaya",Shutdown,Mobile,Full network,Local government,Communal violence,Ended
3/2/2020,Kenya,Mandera,Shutdown,Mobile,Full network,Non-government,Conflict,Ended
3/9/2020,India,Kulgam and Shopian,Shutdown,Mobile,Full network,Local government,Other,Ended
3/15/2020,India,Anantnag and Kulgam districts,Shutdown,Mobile,Full network,Local government,Other,Ended
3/16/2020,India,"Bishnupur,Chandel,Churachandpur,Imphal East,Imphal West,Senapati,Tamenglong,Thoubal,Ukhrul in the state of Manipur",Shutdown,Mobile,Full network,Local government,Communal violence,Ended
3/21/2020,Guinea,National,Shutdown,"Broadband, Mobile","Full network, Service-based",Unknown,Elections,Ended
4/4/2020,India,"Kulgam district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/7/2020,India,"Baramula, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/10/2020,India,"Kupwara distrit, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/11/2020,India,"Kulgam, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/17/2020,India,"Shopian district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/21/2020,India,"Shopian, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/22/2020,India,"Anantnag district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/25/2020,India,"Kulgam district and Awantipora, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/26/2020,India,"Kulgam, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
4/27/2020,India,Anantnag,Shutdown,Mobile,Full network,Local government,Other,Ended
4/28/2020,India,"Shopian, Anantnag, and Pulwama districts, in Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Political instability,Ended
5/2/2020,India,"Kupwara, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/2/2020,India,"Pulwama district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/5/2020,India,"Kupwara, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/5/2020,India,"District of Ramban, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/6/2020,India,"Bishnupur,Chandel,Churachandpur,Imphal East,Imphal West,Senapati,Tamenglong,Thoubal,Ukhrul in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/6/2020,India,"Awantipora, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Political instability,Ended
5/12/2020,India,"Chandannagar and Srerampore sub-division of Hoogly, in the state of West Bengal",Shutdown,Mobile,Full network,Local government,Communal violence,Ended
5/12/2020,India,"All districts from Jammu and Kashmir, but for Ganderbal and Udhampur G","Shutdown, Throttle",Mobile,Full network,State government,Political instability,Ended
5/13/2020,India,Badgam,Shutdown,Mobile,Full network,Local government,Protests,Ended
5/14/2020,India,"Kulgam, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/14/2020,Sudan,Kassala,Shutdown,Mobile,Full network,Unknown,Communal violence,Ended
5/18/2020,Pakistan,NA,Shutdown,"Broadband, Mobile",Service-based,Unknown,Unknown,Ended
5/18/2020,Pakistan,NA,Shutdown,"Broadband, Mobile",Service-based,Unknown,Unknown,Ended
5/19/2020,India,"Pulwama district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/19/2020,India,"Srinagar, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Political instability,Ended
5/20/2020,Burundi,National,Shutdown,Mobile,Service-based,Unknown,Elections,Ended
5/25/2020,India,Kulgam and Shopian,Shutdown,Mobile,Full network,Local government,Other,Ended
5/30/2020,India,Kulgam,Shutdown,Mobile,Full network,Local government,Other,Ended
5/31/2020,India,"Anantnag, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
5/31/2020,Venezuela,NA,Shutdown,"Broadband, Mobile",Service-based,Unknown,Other,Ended
6/2/2020,India,"Pulwama, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
6/3/2020,India,"Pulwama, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
6/7/2020,India,"Shopian district, in Jammu and Kashmir",Shutdown,Mobile,Full network,Non-government,Other,Ended
6/10/2020,India,"Shopian district, in Jammu Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
6/11/2020,Ecuador,NA,Shutdown,"Broadband, Mobile",Service-based,Unknown,Unknown,Ended
6/13/2020,India,Kulgam,Shutdown,Mobile,Full network,Local government,Other,Ended
6/16/2020,India,"Shopian, in Jammu and Kashmir",Shutdown,Mobile,Full network,Local government,Other,Ended
6/18/2020,India,Leh (ladakh),Shutdown,"Broadband, Mobile",Full network,Unknown,Other,Unknown
